"Date","Price","Open","High","Low","Vol.","Change %"
"09/25/2023","359.61","356.93","359.70","355.93","38.48M","0.47%"
"09/22/2023","357.91","359.63","361.80","357.59","51.59M","0.01%"
"09/21/2023","357.86","360.80","361.60","357.69","68.60M","-1.83%"
"09/20/2023","364.54","370.95","371.31","364.46","44.93M","-1.44%"
"09/19/2023","369.87","369.32","370.68","366.80","37.32M","-0.21%"
"09/18/2023","370.66","369.32","371.79","369.03","36.64M","-0.04%"
"09/15/2023","370.81","375.91","376.32","369.86","69.81M","-1.71%"
"09/14/2023","377.27","375.99","378.27","373.89","47.41M","0.82%"
"09/13/2023","374.21","373.03","375.84","371.88","46.08M","0.38%"
"09/12/2023","372.79","375.27","376.95","372.50","40.91M","-1.11%"
"09/11/2023","376.97","375.66","377.49","373.66","39.36M","1.18%"
"09/08/2023","372.58","372.01","374.85","371.60","35.85M","0.14%"
"09/07/2023","372.06","370.21","372.85","369.15","51.90M","-0.72%"
"09/06/2023","374.74","377.28","377.63","372.70","42.64M","-0.88%"
"09/05/2023","378.07","376.77","379.31","375.83","32.03M","0.13%"
"09/01/2023","377.59","380.40","380.83","376.08","39.80M","-0.11%"
"08/31/2023","377.99","376.94","379.72","376.87","35.39M","0.30%"
"08/30/2023","376.86","374.88","377.45","373.86","41.37M","0.56%"
"08/29/2023","374.77","366.56","375.13","366.23","58.01M","2.18%"
"08/28/2023","366.76","366.99","367.71","364.25","40.67M","0.75%"
"08/25/2023","364.02","362.07","365.74","358.58","69.96M","0.78%"
"08/24/2023","361.22","372.64","372.74","361.01","66.11M","-2.14%"
"08/23/2023","369.11","364.58","370.22","364.36","49.64M","1.58%"
"08/22/2023","363.38","366.55","366.56","362.68","44.41M","-0.14%"
"08/21/2023","363.90","359.62","364.59","359.15","49.90M","1.61%"
"08/18/2023","358.13","355.26","359.41","354.71","61.19M","-0.13%"
"08/17/2023","358.58","363.96","364.31","358.16","61.83M","-1.09%"
"08/16/2023","362.54","365.87","367.43","362.44","52.18M","-1.06%"
"08/15/2023","366.42","369.36","370.17","365.74","45.31M","-1.06%"
"08/14/2023","370.35","365.43","370.47","364.70","41.42M","1.12%"
"08/11/2023","366.24","365.99","368.00","364.69","48.71M","-0.64%"
